title,location,founder,description,linkedin,website
Z1,"São Paulo, Brazil",Thiago Achatz,Digital bank for teenagers in LatAm connected to prepaid card ,https://www.linkedin.com/in/thiago-waddington-achatz-3280a297/,https://z1.app/
Mendel,"Mexico City, Mexico",Alan Karpovsky,Workflows to empower employees to spend while finance stay in control,https://www.linkedin.com/in/alankarpovsky/,https://somosmendel.com
Preki,"Bogota, Colombia",Alex Hakim,B2B wholesale marketplace in LatAm,https://www.linkedin.com/in/alex-hakim-414192b3,http://www.preki.com
Ontop,"Bogota, Colombia",Jaime Abella,Multi-country payroll manager for LATAM,https://www.linkedin.com/in/jaime-abella/,https://ontop.ai/
Pyroscope,"Oakland, CA",Dmitry Filimonov,Open source continuous profiling software to debug performance issues,https://www.linkedin.com/in/dmitry-filimonov-82b26145/,https://pyroscope.io/
Compose.ai,San Francisco,Wilson Mitchell,Cut your writing time by 40% with AI-powered autocomplete,https://www.linkedin.com/in/wilsonmitchell,https://compose.ai
Fable,New York,Alex Chumbley,The command center for product teams,https://www.linkedin.com/in/alex-chumbley/,https://www.tryfable.com/
Mythia,San Francisco,Eric Lafleche,Reward Card for Gamers,https://www.linkedin.com/in/ericlafleche/,https://mythia.com
Seer,"Las Vegas, NV",Christina Czap,Sell beyond the store.,https://www.linkedin.com/in/christina-czap/,https://www.helloseer.com/
Aerotime,San Francisco,Piyush Narwani,Automatically group meetings together and find time for deep work,https://www.linkedin.com/in/piyushnarwani/,https://www.aerotime.ai/
ZOKO,"Bengaluru, India",Arjun Paul,Better Business on WhatsApp,https://www.linkedin.com/in/arjun-v-21939784/,https://www.zoko.io/
Corrily,,Abel Riboulot,Price Optimization for subscription and usage-based companies,https://www.linkedin.com/in/abel-riboulot-b92b8087/,http://www.corrily.com
Finantier,Singapore,Keng Low,Plaid for Southeast Asia,https://www.linkedin.com/in/keng/,https://finantier.co
Tint,San Francisco,Matheus Riolfi,Makes it easy for tech platforms to embed insurance into products,https://www.linkedin.com/in/mriolfi/,http://www.tint.ai
Milk Video,New York,Leonard Bogdonoff,Turn webinars into video highlights,https://www.linkedin.com/in/rememberlenny/,https://milkvideo.com
Clicoh,"Córdoba, Argentina",Juan Martin Altamirano,Amazon level logistics for ecommerce companies in Latam,https://www.linkedin.com/in/juan-altamirano/,http://clicoh.com/
ProcessLabs,San Francisco,Pablo Ferrari,Measure and optimize ROI of engineering teams,https://www.linkedin.com/in/pablo-ferrari/,https://www.processlabs.ai
dyte,"Bengaluru, India",Palash Golecha,Video calling as a service,None,https://dyte.in
SoloSuit,"Provo, UT",Scott Erickson,SoloSuit helps people respond to debt collection lawsuits.,http://linkedin.com/in/theerickson,https://www.solosuit.com
TRACTIAN,"São Paulo, Brazil",Gabriel Lameirinhas,"Shazam for maintenance teams, detect machine issues early on",https://www.linkedin.com/in/glameirinhas/,https://tractian.com
Dendron,"Seattle, WA",Kevin Lin,Notion for Developers,https://www.linkedin.com/in/kevinslin-thence,https://dendron.so
Resquared,"Cincinnati, OH",Griffin Morris,Marketing automation platform for selling to local businesses.,https://linkedin.com/in/jgriffinmorris,http://re2.ai
QuikNode,"Miami, FL",Auston Bunsen,Tools & infra to build and scale high-quality blockchain applications.,https://www.linkedin.com/in/austonbunsen,https://www.quicknode.com
Flextock,"Cairo, Egypt",Mohamed Mossaad,Tech-enabled fulfillment provider in the Middle East & Africa,https://www.linkedin.com/in/mohamed-mossaad-50903438/,http://www.flextock.com
SST,"Toronto, Canada",Jay V,The easiest way to use serverless,https://www.linkedin.com/in/jayair/,https://serverless-stack.com
LogisticsOS,"Pleasanton, CA",Tiangang Song,World's fastest and most optimal route optimization engine,http://linkedin.com/in/tgsong,https://logisticsos.com
LightTwist,"Boulder, CO",Vikas Reddy,A virtual video studio on the iPhone for creators and creatives,https://www.linkedin.com/in/vikasreddy/,https://lighttwist.io
Text Blaze,San Francisco,Dan Barak,Create dynamic text snippets and insert them anywhere on the web,https://www.linkedin.com/in/barakdan/,https://blaze.today
Sendbox,"Lagos, Nigeria",Olusegun Afolahan,Fulfillment by Amazon for African merchants,https://ng.linkedin.com/in/segunafolahan,https://sendbox.co
Zapt,"São Paulo, Brazil",Gui Alvarenga,Pinduoduo for Brazil,https://www.linkedin.com/in/guilherme-bastos-alvarenga-2296413/,https://www.zapt.com.br
Datrics,San Francisco,Kirill Kirykov,No-code analytics and machine learning tool,https://www.linkedin.com/in/kirill-kirikov-96507425/,https://datrics.ai
Great Question,"Oakland, CA",Ned Dwyer,User research on autopilot. ,https://www.linkedin.com/in/neddwyer,https://greatquestion.co
Finary.eu,"Paris, France",Julien Blancher,The new wealth manager for Europe,https://www.linkedin.com/in/julienblancher/,https://finary.eu/en
BimaPe,"Mumbai, India",Rahul Mathur,One hub for your family's insurance,https://www.linkedin.com/in/rahul-jaideep-mathur/,https://bimape.com/
Greywing,Singapore,Nick Clarke,The Operating System for Maritime,https://www.linkedin.com/in/nick-j-clarke/,https://grey-wing.com/
R2 Capital,,Roger Larach,Stripe Capital for Latin America,https://www.linkedin.com/in/larachr,https://www.r2capital.co/
Purpose,San Francisco,Anna Matalon,Go-to-card for conscious consumers,https://www.linkedin.com/in/annamatalon/,https://trypurposecard.com/
Chatbiz,"Bandung, Indonesia",Terry Djony,Shopify for Indonesia using WhatsApp,https://www.linkedin.com/in/terry-djony-chatbiz-id/,https://chatbiz.id
BrioHR,"Kuala Lumpur, Malaysia",Benjamin Croc,All-in-one HR management platform for SMEs in Southeast Asia.,https://www.linkedin.com/in/benjamin-croc-93669426/,https://briohr.com/
Kredi,"Monterrey, Mexico",Javier Aldape,Rocket Mortgage for LatAm. ,https://www.linkedin.com/in/javier-aldape-359706110/,https://www.kredi.mx/
Mindee,"Paris, France",Mohamed Biaz,Developer API for document parsing,https://www.linkedin.com/in/mohamed-biaz-8268597a/,https://mindee.com
Udhaar App,"Karachi, Pakistan",Fahad Kamr,We're Khatabook / OkCredit for Pakistan,https://www.linkedin.com/in/fahadk/,https://udhaar.pk/
Kodo,"Mumbai, India",Deepti Sanghi,Corporate credit card for Indian startups & small businesses,https://www.linkedin.com/in/deeptisanghi/,https://www.kodo.in/
Fintoc,"Santiago, Chile",Cristóbal Griffero,Plaid for LATAM,https://www.linkedin.com/in/griffero/,https://fintoc.com
Superpowered,San Francisco,Jordan Dearsley,Join Zoom meetings in one click,http://linkedin.com/in/jordandearsley,http://superpowered.me
Alinea,New York,Nikhil  Agrawal,The Smart Next Gen Investing App 💫,https://www.linkedin.com/in/nikhilagrwal/,https://alinea-invest.com/
Lendflow,"Austin, TX",Jon Fry,Embedded lending infrastructure for software companies,https://www.linkedin.com/in/jonfrysales/,https://lendflow.io
Parsagon,San Francisco,Sandy Suh,Developer tool for web scraping,https://www.linkedin.com/in/alexander-suh-2ba05bb0,https://parsagon.io
