title,location,founder,description,linkedin,website
Fieldguide,San Francisco,Jin Chang,Modern software that transforms the way accounting firms work.,https://www.linkedin.com/in/jinwchang/,http://fieldguide.io
Finch,San Francisco,Jeremy Zhang,Finch is the universal API for payroll and HR,https://www.linkedin.com/in/jeremyziyuzhang/,https://tryfinch.com
Parade,"Jackson, WY",David Klein,"Create a brand identity in minutes, use it everywhere.",https://www.linkedin.com/in/dbklein/,https://www.getparade.com
Parrot Software 🦜,"Monterrey, Mexico",Roberto Cebrian,The operating system for restaurants in LatAm.,https://www.linkedin.com/in/robertocebrian/,https://parrotsoftware.io/
Clover,NY,Adam Christ,"The all-in-one notebook for creatives to brainstorm, write, and plan…",https://www.linkedin.com/in/adamchrist/,https://cloverapp.co
Reflect,"Villanova, PA",Todd McNeal,No-code test automation for web apps,https://www.linkedin.com/in/toddmcneal/,https://reflect.run
Once,"Paris, France",Arthur Bonnecarrere,Mobile optimized storefronts for Shopify,https://www.linkedin.com/in/arthur-bonnecarrere-7036b314/,https://once.app
Mozart Data,San Francisco,Peter Fishman,The easiest way to set up a modern data stack,https://www.linkedin.com/in/petefishman,http://www.mozartdata.com
Nestybox,"San Jose, CA",Rodny Molina,Enables Linux containers to act as super fast & efficient VMs,https://www.linkedin.com/in/rodnymolina,https://www.nestybox.com
Glimpse,New York,Kushal Negi,A platform for online brands to easily launch distributed showrooms. ,https://www.linkedin.com/in/kushal-negi/,https://tryglimpse.com/
Here,New York,Jesse Boyes,"Personal, Shareable, Flexible Video Rooms",https://www.linkedin.com/in/jesseboyes/,https://here.fm
Lendtable,San Francisco,Sheridan Clayborne,We give employees wealth-building loans for their 401k match and ESPP,https://www.linkedin.com/in/sheridan-clayborne-77723a119/,http://lendtable.com
Afriex,San Francisco,Tope Alabi,Stablecoin remittances,https://www.linkedin.com/in/topealabi,https://www.afriexapp.com
Backlot,"Los Angeles, CA",Daniel Citron,The collaborative design tool for the film and video ad industry.…,https://www.linkedin.com/in/dacitron/,https://www.backlot.studio
Spenmo,Singapore,Mohandass Kalaichelvan,Bill.com for SMBs in SE Asia,https://www.linkedin.com/in/mohandasskalaichelvan/,https://spenmo.com/
SafeBase,San Francisco,Adar Arnon,Interactive status page to streamline 3rd party security assessments,https://www.linkedin.com/in/adarnon/,https://www.safebase.io
Letter,"San Diego, CA",Matt DeLoach,Beautifully designed banking for high net-worth individuals.,https://www.linkedin.com/in/matthewdeloach/,https://letter.co
Supabase,Singapore,Paul Copplestone,The open source Firebase alternative.,https://www.linkedin.com/in/paulcopplestone/,https://supabase.io
Bundle,"Seattle, WA",Emily Yuhas,Dollar Shave Club as a platform. ,https://www.linkedin.com/in/emily-yuhas/,http://www.bundlepayments.com
Akiflow,"Padua, Italy",Sebastiano Favaro,Akiflow is a Productivity Assistant for Business Apps. ,https://www.linkedin.com/in/sebastianofavaro/,https://akiflow.com
Dataland,New York,Arthur Wu,Command your entire business from one app,https://www.linkedin.com/in/arthurwu1/,http://dataland.webflow.io
Papercups,San Francisco,Kam Leung,Open Core Intercom Alternative,https://www.linkedin.com/in/leungkam/,https://papercups.io
Skio,San Francisco,Kennan Davison,Subscriptions for Shopify,https://linkedin.com/in/kennandavison,https://skio.com
TyltGO,"Kitchener, Canada",Aaron Paul,TyltGO powers retailers with same-day delivery.,https://www.linkedin.com/in/a29paul/,https://www.tyltgo.com/
Tella,"Amsterdam, Netherlands",Grant Shaddick,Video recording for work,https://www.linkedin.com/in/shaddickgrant/,https://tella.tv/
Memo,"Exeter, United Kingdom",Peter Saxton,Memo is modern communication that helps you get your focus back,https://www.linkedin.com/in/peter-saxton-43893145/,https://sendmemo.app
Mozper,"Mexico City, Mexico",Yael Israeli,A debit card and app designed for kids and parents in Latin America,https://www.linkedin.com/in/yaelisraeli1/,https://www.mozper.com/
Memberstack,"Williamsburg, VA",Duncan Hamra,Add user accounts and payments to any website with one line of code,https://www.linkedin.com/in/duncanhamra,https://www.memberstack.com
Aquarium Learning,San Francisco,Peter Gao,We help ML teams improve their models by improving their datasets,https://www.linkedin.com/in/pgaooo/,https://www.aquariumlearning.com/
Notabene,New York,Pelle Braendgaard,Software to manage risk  in crypto transactions,https://www.linkedin.com/in/pelleb/,https://notabene.id
Decentro,"Bengaluru, India",Rohit Taneja,API platform for banking integrations (Plaid for India and APAC),https://www.linkedin.com/in/rohit-taneja-69b30b13/,https://decentro.tech
Bikayi,"Hyderabad, India",Sonakshi Nathani,Shopify for India,https://www.linkedin.com/in/sonakshi-nathani-473abb41/,https://bikayi.com
Tydo,"Los Angeles, CA",Manav Kohli,Performance analytics for today's DTC brands,https://www.linkedin.com/in/manavkohli/,https://www.tydo.com
In Stock,"Santa Cruz, CA",Ian McHenry,"Find any product, in stock nearby",https://www.linkedin.com/in/ianmchenry,https://instock.org
WareIQ,"Bengaluru, India",Aayush Mattoo,Amazon-like next day delivery for eCommerce companies in India,https://www.linkedin.com/in/aayushmattoo/,https://www.wareiq.com/
Clew,"Toronto, Canada",Udara Jayawardena,Unified file system for the cloud. ,https://lk.linkedin.com/in/udarajay,https://clew.ai/
